GRvalue,agent,cell_count,cell_count__ctrl,cell_count__time0,cell_line,concentration,timepoint,receptor_status,color_map
0.555590802,BMS-265246,,,,BT20,0.001,72,TNBC,#ca7832
0.46372712299999996,BMS-265246,,,,BT20,0.0031622779999999997,72,TNBC,#ca7832
0.336307542,BMS-265246,,,,BT20,0.01,72,TNBC,#ca7832
0.214896273,BMS-265246,,,,BT20,0.031622777000000005,72,TNBC,#ca7832
0.184225766,BMS-265246,,,,BT20,0.1,72,TNBC,#ca7832
-0.028883992999999997,BMS-265246,,,,BT20,0.316227766,72,TNBC,#ca7832
-0.025807184,BMS-265246,,,,BT20,1.0,72,TNBC,#ca7832
-0.108653805,BMS-265246,,,,BT20,3.16227766,72,TNBC,#ca7832
-0.073271477,BMS-265246,,,,BT20,10.0,72,TNBC,#ca7832
0.508551114,BMS-265246,,,,BT549,0.001,72,TNBC,#ca7832
0.419902975,BMS-265246,,,,BT549,0.0031622779999999997,72,TNBC,#ca7832
0.24935352600000002,BMS-265246,,,,BT549,0.01,72,TNBC,#ca7832
0.119239365,BMS-265246,,,,BT549,0.031622777000000005,72,TNBC,#ca7832
0.070200388,BMS-265246,,,,BT549,0.1,72,TNBC,#ca7832
-0.048765104000000004,BMS-265246,,,,BT549,0.316227766,72,TNBC,#ca7832
-0.068696589,BMS-265246,,,,BT549,1.0,72,TNBC,#ca7832
-0.112531491,BMS-265246,,,,BT549,3.16227766,72,TNBC,#ca7832
-0.089921813,BMS-265246,,,,BT549,10.0,72,TNBC,#ca7832
0.8256626709999999,BMS-265246,,,,HCC1806,0.001,72,TNBC,#ca7832
0.8422179809999999,BMS-265246,,,,HCC1806,0.0031622779999999997,72,TNBC,#ca7832
0.762706125,BMS-265246,,,,HCC1806,0.01,72,TNBC,#ca7832
0.7121365279999999,BMS-265246,,,,HCC1806,0.031622777000000005,72,TNBC,#ca7832
0.6639472,BMS-265246,,,,HCC1806,0.1,72,TNBC,#ca7832
0.50971974,BMS-265246,,,,HCC1806,0.316227766,72,TNBC,#ca7832
0.380194849,BMS-265246,,,,HCC1806,1.0,72,TNBC,#ca7832
0.13488939,BMS-265246,,,,HCC1806,3.16227766,72,TNBC,#ca7832
0.093989479,BMS-265246,,,,HCC1806,10.0,72,TNBC,#ca7832
0.486611344,BMS-265246,,,,HCC1954,0.001,72,HER2amp,#4dab9b
0.410801694,BMS-265246,,,,HCC1954,0.0031622779999999997,72,HER2amp,#4dab9b
0.275688893,BMS-265246,,,,HCC1954,0.01,72,HER2amp,#4dab9b
0.242338608,BMS-265246,,,,HCC1954,0.031622777000000005,72,HER2amp,#4dab9b
0.175234941,BMS-265246,,,,HCC1954,0.1,72,HER2amp,#4dab9b
0.117531719,BMS-265246,,,,HCC1954,0.316227766,72,HER2amp,#4dab9b
0.09707011,BMS-265246,,,,HCC1954,1.0,72,HER2amp,#4dab9b
